,Bath(s),Area(Marla),Bedroom(s),Servant Quarters,Kitchens,Store Rooms,Storey Unit,Main Location,IsPrimeLoc,SolarInstalled,WaterBore,CornerHouse,luxury_type,Property era
6313,6.0,26.0,6.0,2.0,2.0,2.0,2.0,F-8,False,False,False,False,0,Vintage
1551,5.0,8.0,4.0,1.0,2.0,1.0,2.0,CBR Town Phase 1,False,False,False,False,0,Recently Built
6214,6.0,7.0,5.0,1.0,2.0,1.0,2.0,G-13,True,False,True,False,0,Recently Built
3270,6.0,9.0,5.0,1.0,2.0,1.0,2.0,Soan Garden,False,False,False,False,0,Recently Built
3649,6.0,12.0,4.0,1.0,2.0,1.0,2.0,Bani Gala,False,False,True,False,1,Brand New (2025)
4076,6.0,8.0,5.0,1.0,2.0,1.0,2.0,G-13,True,False,False,False,0,Modern Era
6124,4.0,5.0,4.0,1.0,2.0,1.0,2.0,PWD Housing Scheme,False,False,False,False,1,Brand New (2025)
5628,4.0,5.0,4.0,1.0,2.0,1.0,2.0,Faisal Town Phase 1,False,False,False,False,0,Brand New (2025)
5086,4.0,10.0,4.0,1.0,2.0,1.0,2.0,Bahria Enclave,False,False,False,False,1,Brand New (2025)
3493,5.0,7.0,5.0,1.0,2.0,1.0,2.0,G-13,True,False,False,False,1,Modern Era
1934,5.0,4.0,4.0,1.0,2.0,1.0,2.0,G-13,False,False,True,False,0,Modern Era
2197,10.0,20.0,10.0,2.0,3.0,1.0,3.0,E-11,False,False,False,False,0,Brand New (2025)
5253,5.0,10.0,4.0,1.0,1.0,1.0,2.0,D-12,False,False,False,False,0,Recently Built
3705,4.0,5.0,3.0,1.0,1.0,2.0,2.0,Bahria Enclave,False,False,False,False,0,Brand New (2025)
4768,3.0,5.0,3.0,1.0,1.0,1.0,2.0,Bahria Enclave,False,False,False,False,0,Brand New (2025)
4361,6.0,12.0,6.0,1.0,2.0,1.0,2.0,I-8,False,False,False,False,0,Recently Built
6026,6.0,10.0,5.0,1.0,2.0,1.0,2.0,Bani Gala,False,False,False,False,1,Brand New (2025)
2984,6.0,22.0,9.0,2.0,3.0,1.0,3.0,F-7,False,False,False,False,0,Recently Built
2709,6.0,20.0,6.0,2.0,2.0,2.0,2.0,Bani Gala,False,False,False,False,1,Brand New (2025)
2459,7.0,48.0,6.0,1.0,2.0,2.0,2.0,F-6,False,False,False,False,0,Modern Era
2476,6.0,20.0,5.0,1.0,2.0,1.0,2.0,DHA Phase 2,False,False,False,False,0,Modern Era
2020,3.0,5.0,4.0,1.0,2.0,1.0,2.0,Naval Anchorage,False,False,False,False,0,Recently Built
5337,7.0,10.0,6.0,1.0,2.0,1.0,2.0,Top City 1,False,False,False,False,0,Brand New (2025)
4459,5.0,8.0,4.0,1.0,2.0,1.0,2.0,Bahria Enclave,False,False,False,False,0,Brand New (2025)
2389,5.0,20.0,5.0,1.0,2.0,1.0,2.0,G-10,False,False,False,False,0,Brand New (2025)
1265,6.0,14.0,6.0,1.0,1.0,1.0,2.0,G-9,False,False,False,False,0,Brand New (2025)
1345,7.0,20.0,6.0,1.0,2.0,1.0,3.0,D-12,False,False,False,False,1,Recently Built
2852,7.0,20.0,7.0,2.0,2.0,2.0,2.0,G-13,True,False,True,False,0,Brand New (2025)
1435,4.0,5.0,3.0,1.0,2.0,1.0,2.0,Bahria Enclave,False,False,False,False,1,Brand New (2025)
1946,7.0,20.0,6.0,1.0,2.0,2.0,1.0,MPCHS - Multi Gardens,False,True,False,False,0,Modern Era
5893,5.0,8.0,4.0,1.0,2.0,1.0,2.0,B-17,True,False,True,False,0,Brand New (2025)
1593,7.0,20.0,9.0,2.0,3.0,2.0,3.0,E-11,False,False,True,False,0,Recently Built
1632,6.0,7.0,6.0,1.0,2.0,1.0,2.0,I-14,False,False,True,False,1,Brand New (2025)
2569,5.0,4.0,4.0,1.0,2.0,1.0,2.0,G-13,False,False,True,True,0,Modern Era
3460,6.0,10.0,5.0,1.0,2.0,1.0,2.0,Gulberg Residencia,False,False,False,False,0,Brand New (2025)
273,4.0,5.0,4.0,1.0,1.0,1.0,2.0,Park View City,False,False,False,False,0,Brand New (2025)
4791,6.0,9.0,5.0,1.0,2.0,1.0,2.0,Bahria Enclave,False,False,False,False,0,Brand New (2025)
5805,6.0,24.0,8.0,2.0,2.0,2.0,3.0,F-10,False,False,False,False,0,Modern Era
76,4.0,5.0,4.0,1.0,2.0,1.0,2.0,Bani Gala,False,False,False,False,1,Brand New (2025)
1755,3.0,6.0,3.0,1.0,1.0,1.0,2.0,DHA Phase 2,False,False,False,False,0,Brand New (2025)
3452,5.0,4.0,5.0,1.0,2.0,1.0,2.0,G-13,True,False,True,True,0,Brand New (2025)
5394,3.0,5.0,3.0,1.0,1.0,1.0,2.0,Bahria Enclave,True,False,False,False,0,Brand New (2025)
6382,6.0,20.0,6.0,2.0,2.0,2.0,2.0,DHA Phase 2,False,False,False,False,0,Brand New (2025)
2299,6.0,8.0,6.0,1.0,1.0,1.0,2.0,B-17,False,False,False,False,0,Brand New (2025)
1096,7.0,20.0,6.0,2.0,2.0,1.0,2.0,DHA Phase 2,True,False,False,False,0,Brand New (2025)
3505,6.0,10.0,5.0,1.0,2.0,1.0,2.0,Bani Gala,False,False,False,False,0,Brand New (2025)
2331,3.0,6.0,3.0,1.0,1.0,1.0,2.0,G-9,True,False,False,False,1,Brand New (2025)
1564,4.0,5.0,3.0,1.0,1.0,1.0,2.0,Bahria Town,True,False,False,False,0,Brand New (2025)
2305,4.0,7.0,4.0,1.0,2.0,1.0,2.0,G-10,False,False,False,True,0,Brand New (2025)
3886,4.0,4.0,4.0,1.0,1.0,1.0,2.0,D-12,True,False,False,False,0,Brand New (2025)
3409,5.0,4.0,4.0,1.0,2.0,1.0,2.0,G-13,False,False,False,False,0,Brand New (2025)
5070,3.0,5.0,3.0,1.0,2.0,1.0,2.0,Bahria Enclave,False,False,False,False,1,Brand New (2025)
6353,6.0,10.0,5.0,1.0,1.0,1.0,2.0,Top City 1,False,False,False,False,0,Modern Era
843,7.0,20.0,5.0,1.0,1.0,1.0,2.0,MPCHS - Multi Gardens,False,False,False,False,0,Modern Era
3278,6.0,12.0,8.0,1.0,3.0,1.0,3.0,G-10,True,False,False,False,0,Brand New (2025)
2479,3.0,5.0,2.0,1.0,1.0,1.0,1.0,Bani Gala,False,False,False,False,1,Brand New (2025)
