,Price(Cr)
641,12.25
3156,8.5
838,19.5
4278,0.85
5390,6.5
4912,12.0
4385,9.5
5037,45.0
4155,3.25
6186,40.0
3609,8.4
2737,2.8
1090,0.6
4519,9.8
568,0.56
306,3.5
6153,1.7
2956,3.5
369,2.25
5040,38.5
1105,5.5
3206,14.5
647,4.2
962,12.0
332,2.4
3250,3.25
2337,22.0
4741,6.85
3181,14.5
5095,30.0
3093,2.18
5911,2.2
5808,4.25
1283,4.1
661,1.1
2177,9.2
1021,6.0
5406,4.3
5906,3.5
3040,4.0
2821,7.5
5670,3.5
4750,3.35
4760,9.75
1680,3.3
112,1.52
5460,2.2
4017,5.0
4529,3.2
4635,4.25
2156,8.5
4160,14.0
2803,3.6
2482,5.5
4070,6.2
2977,15.0
702,40.0
759,9.5
5861,3.6
599,1.3
555,4.9
5486,3.3
5594,17.0
3192,11.5
2434,1.75
6317,29.0
989,3.5
5519,9.75
4245,8.1
1805,5.0
80,16.5
5010,13.5
1234,3.0
6462,10.9
5625,3.25
1840,5.25
287,3.8
3242,2.25
4722,3.4
542,45.0
2703,8.5
5750,2.35
4797,4.5
6321,33.0
5871,0.95
4969,3.6
4956,4.38
6048,3.25
4242,3.8
12,2.45
3674,2.2
2878,3.5
2722,3.45
1012,15.75
340,7.5
4324,1.7
2407,0.72
570,65.0
5531,5.7
2348,13.9
4370,9.8
1343,20.0
4129,38.5
5340,8.4
3689,5.8
3026,11.4
5413,7.2
1779,4.0
4830,8.75
4455,2.8
3756,4.9
2884,1.35
1050,5.75
51,8.25
1266,6.25
4098,33.0
785,4.5
4870,5.75
5052,2.4
4050,2.7
6480,17.0
4016,5.5
2016,78.0
1650,3.9
1493,2.4
541,11.5
951,5.25
5244,3.7
4481,0.75
517,4.4
1399,24.0
4184,20.0
4102,0.7
1971,2.95
1499,2.55
4480,2.9
693,7.5
6031,0.7
4980,5.6
2060,0.78
5581,4.15
5915,4.3
2304,3.9
5039,64.0
1832,40.0
3111,45.0
5235,3.9
5290,65.0
2311,6.5
5848,2.45
1822,8.8
2525,2.95
1828,7.85
6212,4.3
6240,7.0
4919,10.9
4334,1.55
105,9.95
1690,2.8
1167,4.2
2746,11.9
3275,4.3
4006,2.4
5925,4.8
3128,2.5
182,7.75
1645,0.67
1357,11.75
1351,12.5
1179,4.99
5245,3.25
5653,5.65
2273,4.5
1758,18.5
740,14.25
6449,13.5
3531,0.55
2972,3.98
3587,16.0
4574,7.8
2902,4.45
2045,6.75
1299,1.2
1186,14.0
671,1.15
3715,4.5
2499,3.5
5821,17.5
5785,6.85
5707,72.0
934,7.5
231,3.5
5300,38.0
4806,2.85
48,2.5
5416,4.45
2787,2.4
1018,6.5
124,4.5
3268,3.4
1745,5.5
4312,45.0
5620,7.0
6431,8.7
5251,7.15
4972,2.35
4739,2.5
2706,7.2
1664,1.55
1932,7.95
280,0.96
5065,3.45
749,7.25
2495,2.85
732,8.8
5637,4.75
2751,3.55
2049,4.5
2248,45.0
3516,13.0
6260,48.0
4854,24.5
3080,2.35
2293,4.5
1761,3.1
3949,2.6
4203,0.7
4424,4.9
2085,7.5
3271,2.7
5719,0.83
2491,5.5
1728,2.25
2295,2.65
4940,13.75
5710,45.0
4377,7.0
3740,3.65
1380,23.0
4746,6.0
4600,21.0
3887,35.0
1069,4.0
3985,1.8
304,20.0
1041,2.5
1802,8.25
6129,40.0
1665,1.7
5820,11.5
5756,2.2
3605,6.0
4410,10.0
1752,13.9
1544,28.5
3196,9.8
1534,3.65
3860,3.6
1679,4.5
4837,18.0
5471,24.5
5349,8.25
2204,3.44
4339,1.35
4429,11.75
4638,2.5
5623,42.0
5989,14.5
4732,2.3
1287,7.1
197,4.7
2051,14.0
5381,2.45
1230,4.5
5470,23.0
5208,36.5
4101,2.5
1022,2.35
2698,1.8
3683,3.7
365,2.45
99,5.5
6278,2.38
3668,11.0
581,8.85
5768,3.5
3281,2.75
4628,3.8
6263,6.5
582,3.5
2003,18.5
5680,13.0
2823,11.0
860,12.75
3138,11.9
1890,4.0
2700,6.95
1274,16.5
5862,14.5
3342,10.75
3428,2.75
2303,2.9
5140,36.5
46,1.8
5902,2.7
3991,3.2
5733,7.9
3182,14.5
6386,0.755
1411,15.25
2333,42.0
1618,75.0
4106,3.0
3302,7.5
4386,3.1
3685,2.35
2800,13.5
5220,3.8
964,9.0
4144,4.0
4568,11.0
6055,23.5
1034,2.8
5257,3.95
5187,13.7
610,6.5
4747,6.0
2244,29.0
2458,1.95
5371,3.6
1182,1.5
4895,5.1
888,5.5
158,6.0
619,7.0
4570,5.7
2422,29.0
4479,3.0
3908,0.75
6405,3.25
123,5.5
4273,1.35
5910,7.95
3094,4.0
1072,1.65
3748,5.75
4973,3.59
5036,27.0
2430,3.45
14,3.1
3604,3.5
404,2.4
6300,2.5
1545,8.5
1721,25.0
2125,4.8
5499,3.2
6272,7.25
6267,6.5
5269,1.3
4040,2.1
6127,4.2
2330,26.0
3575,14.25
5669,3.5
4038,4.65
5824,40.0
2504,30.0
1231,2.65
5339,2.7
3256,9.0
1301,2.35
727,18.0
3402,11.5
2647,10.4
485,0.58
4198,1.85
4617,4.99
756,6.75
1958,9.0
1460,29.0
4157,5.75
2432,2.15
3665,7.4
5646,30.0
4145,0.85
4932,2.9
4873,4.7
5817,8.2
6471,18.0
2645,2.6
3789,8.0
2652,19.0
3072,7.85
516,2.29
6312,35.0
4975,6.75
1910,7.5
2436,2.65
803,2.05
3519,4.4
3652,3.5
3712,7.9
3343,6.6
4376,5.0
1784,2.95
6036,6.6
4554,1.3
1384,75.0
2625,2.7
3180,7.5
1449,37.0
4686,2.9
1580,5.45
6018,4.6
5014,11.5
4049,2.8
6306,15.5
1434,2.7
5277,2.9
2494,6.5
209,7.5
4748,3.65
3388,2.2
4287,6.9
4196,12.0
841,10.9
2178,16.0
1007,4.25
1756,3.85
4997,4.3
1302,2.2
4951,32.0
717,5.5
5541,9.75
812,38.0
1646,40.0
5607,8.5
1615,1.4
4211,8.5
5760,3.5
752,6.4
908,7.5
5838,7.0
2478,2.55
1455,3.0
2861,11.5
5952,4.0
1659,11.5
4197,1.78
6276,2.15
160,3.25
5338,2.5
1051,2.85
6210,5.65
2931,7.25
1567,2.3
5544,5.4
2688,2.75
1197,12.75
165,4.2
939,2.65
6175,12.75
6077,4.5
1628,1.32
913,4.2
536,4.75
372,7.45
3981,6.5
5845,4.25
4411,24.0
4241,1.54
4298,7.1
58,27.25
5100,5.5
6231,3.3
1428,48.0
1279,2.55
1108,5.4
1773,3.0
1623,5.25
4,2.7
5580,3.7
4542,1.75
2380,13.35
4694,2.25
3408,3.85
4524,4.1
3920,9.75
3667,3.9
4541,25.0
1560,14.5
5797,14.5
1206,38.5
979,11.0
2547,5.8
3466,5.15
5085,4.2
3863,4.1
3476,2.8
3246,35.0
1657,10.0
4885,5.5
835,1.25
5698,3.75
5655,3.85
62,4.8
1235,1.4
2953,11.5
4093,4.15
2702,9.3
1201,2.25
5107,15.5
1611,0.72
1678,4.0
3704,4.5
2826,13.25
1403,5.25
3979,4.6
586,2.6
3774,2.3
5786,5.71
3489,3.3
25,16.5
983,7.75
45,2.3
5850,15.5
4359,1.3
6294,5.25
4246,7.1
769,3.2
3618,12.75
1337,11.5
2725,3.4
2797,6.5
783,6.0
4142,3.5
2534,7.75
6383,12.9
4664,9.5
4866,5.7
322,1.85
5830,4.4
5219,3.8
4780,3.29
1124,7.75
2077,4.4
3738,5.55
210,12.5
5609,13.0
4458,4.5
2503,38.0
4279,45.0
5018,3.3
899,12.0
5806,4.0
4029,73.0
2808,4.4
1956,7.5
828,5.9
6388,15.0
2605,13.8
2695,2.4
3062,4.6
175,30.0
5060,12.75
4977,2.15
6464,3.15
2986,50.0
4395,6.95
1415,14.5
3397,2.7
249,35.0
1643,3.1
1430,36.0
1003,4.18
6176,26.0
878,10.75
239,15.0
435,1.45
3746,2.5
5096,5.5
6233,6.8
1532,12.5
2619,43.0
5932,8.35
3185,10.6
3781,1.75
6472,5.75
1549,15.0
3716,1.0
3254,12.9
1811,4.6
4862,5.5
22,8.8
5389,5.0
4689,4.5
1759,18.5
797,4.5
5393,2.6
942,13.75
6118,8.5
5854,8.25
4567,12.0
666,0.98
2227,4.75
1386,2.25
4316,7.5
3434,3.15
5553,2.4
1146,4.0
5004,1.25
290,9.95
3077,5.25
5011,11.9
2670,2.75
3661,1.4
818,6.7
5135,1.5
3365,2.4
3097,3.35
2513,2.8
4126,4.25
1513,3.25
5180,27.0
690,33.0
5923,3.5
1381,5.1
675,90.0
4032,2.75
6348,4.6
918,3.5
587,12.0
1772,9.5
1667,2.75
2084,2.06
6135,21.0
2266,1.0
5964,8.4
1169,56.5
1895,3.0
583,2.5
4210,65.0
2391,19.5
216,2.35
6113,4.4
2531,1.25
1383,4.5
5724,3.35
4852,4.15
4240,17.0
5708,24.0
6375,5.7
1280,37.0
2848,7.1
4378,3.5
2790,2.48
3249,17.5
135,14.0
2212,5.5
3772,8.5
4790,4.6
4937,48.0
338,1.5
5886,2.5
2133,13.75
2457,2.45
5969,3.5
2519,6.25
4799,1.75
1663,0.75
3326,4.1
2498,16.5
4775,14.5
3050,3.05
6141,5.6
4662,4.0
5639,18.5
3041,2.15
5485,9.25
6376,8.35
897,4.7
363,4.0
5031,1.55
6105,1.1
2674,0.97
6470,11.0
3514,7.2
2903,10.75
4398,33.0
718,8.5
2728,52.0
2575,2.9
4290,8.75
4834,10.0
201,13.9
2958,1.35
2014,3.2
4148,7.5
943,10.25
2664,3.25
3692,6.25
5063,1.35
1652,2.7
4902,5.0
880,4.5
5388,5.0
2860,2.3
256,5.5
4331,6.25
3429,3.69
1097,21.5
4878,8.4
262,4.09
5288,9.5
2574,12.5
4096,14.0
2536,8.2
5236,3.2
1238,13.0
6155,2.7
3201,13.5
1002,3.3
6401,13.81
4441,0.8
5588,45.0
2440,18.0
5211,1.85
5386,2.3
1882,7.5
2747,3.15
5692,8.75
4943,3.8
6357,6.25
5666,6.5
5179,45.0
2974,5.9
947,26.0
5671,3.0
1013,12.0
1867,7.8
3941,3.95
6024,3.5
1903,5.5
3300,12.8
4941,9.0
3028,2.8
2271,22.5
2477,7.75
6381,8.9
6410,11.5
5450,4.0
3967,7.2
4555,1.35
2384,40.0
4025,24.5
3875,27.0
4761,2.6
4957,11.5
2556,4.5
1531,26.5
4861,7.5
2493,11.5
2604,50.0
6308,4.25
820,2.95
4112,2.2
1261,7.1
2193,2.1
269,4.0
1269,14.75
737,1.8
1481,5.95
5778,2.24
3960,5.25
2332,4.0
4092,5.75
4027,5.4
1154,72.0
5492,3.48
3617,5.2
4658,4.75
259,65.0
4651,3.2
3366,16.0
5355,2.3
573,2.5
2208,1.48
3970,3.5
3014,2.85
3785,4.75
83,1.3
5833,14.5
3058,3.25
722,7.0
548,3.0
5971,3.8
1559,18.0
1281,6.6
488,4.7
1461,2.15
1854,2.75
5732,10.75
4996,2.75
1433,2.65
2952,15.5
217,6.8
2220,11.5
5781,2.99
3855,0.8
5216,4.6
1471,6.5
4578,3.1
5912,3.4
2354,10.9
2899,5.75
4755,2.45
44,4.65
5997,3.55
1113,7.5
3769,3.2
2187,11.75
1998,4.1
3853,60.0
4174,8.5
3033,7.75
315,4.8
3057,6.4
3479,48.0
865,3.1
3588,7.5
4262,8.3
926,4.35
5844,7.0
5350,7.5
4811,6.6
2269,7.8
1846,3.6
2816,14.0
4451,16.0
4030,1.75
248,3.9
2678,2.4
1409,15.5
4054,5.25
3039,7.0
3773,1.7
1569,3.85
699,14.9
4282,10.5
6190,37.0
5049,49.0
1706,6.75
3586,1.8
3525,3.3
1104,0.45
2502,22.0
178,11.9
4305,10.9
4776,16.0
5175,10.4
686,15.2
4631,3.45
5701,60.0
1246,4.1
