,Price(Cr)
921,11.9
3269,3.3
4840,3.95
2201,2.9
6136,12.8
1452,2.15
406,2.25
6478,12.0
946,4.5
3645,3.2
4795,2.5
6151,2.9
3210,3.0
6137,2.25
5038,35.0
5313,3.95
5868,0.65
3404,2.75
3670,2.35
3177,9.5
4270,12.85
1225,4.4
790,2.35
2853,7.9
125,2.45
4000,5.35
4248,19.0
3675,7.5
3037,4.25
1727,2.5
3095,1.95
1596,4.4
5904,3.25
5108,9.5
3747,4.1
3234,5.5
3581,0.47
4143,2.8
5409,11.5
5525,2.0
1517,3.2
5448,24.0
3125,3.5
1304,3.45
2155,6.0
3916,4.7
308,7.5
2873,7.7
3199,13.5
1635,8.7
4342,63.0
2677,4.3
4597,10.75
219,30.0
3820,1.35
4718,11.0
337,5.25
3655,10.0
6099,4.5
3978,0.78
2661,3.3
2689,6.5
3322,4.4
6239,6.5
1354,10.9
5982,22.0
3145,17.6
5128,13.5
2524,2.5
5024,55.0
3952,5.0
3076,3.65
5374,1.65
3701,8.5
3757,4.9
2774,9.0
1577,0.78
5408,2.7
2194,7.5
5849,3.5
3317,6.2
1703,4.29
3102,2.85
2143,2.55
858,9.5
967,45.0
52,4.5
813,5.8
3980,2.1
3215,1.65
3320,4.9
319,6.5
1621,3.5
1948,8.5
6422,3.65
3546,13.5
2906,2.05
3002,9.75
2129,8.95
362,5.0
6360,1.35
6188,65.0
5956,2.5
2508,0.75
4706,0.38
2562,3.9
4444,7.5
1203,11.65
2764,2.5
5221,3.0
4601,16.0
5057,19.0
3107,12.8
492,9.4
521,66.0
2388,11.0
1067,1.3
157,2.9
5960,7.5
709,39.0
4920,11.9
3261,2.35
744,3.2
3691,3.9
4258,2.35
4814,12.3
3383,3.2
1123,4.0
5823,10.25
3621,8.5
4357,1.8
2616,18.0
5436,3.22
5663,7.0
4156,2.3
3471,5.85
3167,13.95
4182,5.05
4381,5.7
3149,5.5
4792,4.7
4028,19.0
1850,4.6
3812,4.3
6074,8.5
5515,42.0
3381,5.5
1624,16.5
900,5.5
505,5.25
1897,1.12
5298,35.0
2322,2.45
5795,7.5
3498,15.5
1414,4.0
5780,2.19
6378,12.0
2093,3.25
5847,8.0
3321,2.2
1322,2.4
4161,4.75
907,12.25
3506,3.1
4525,20.0
3615,4.7
5248,3.65
2167,3.6
3118,8.0
159,2.2
5644,25.0
2207,26.0
1795,2.7
5314,14.5
1662,0.65
4212,13.0
74,12.75
5472,2.8
6398,2.35
2576,3.95
3892,5.9
3437,3.1
4387,4.75
1011,14.25
1582,4.75
3901,12.5
2026,4.1
96,33.0
2851,16.0
3456,3.6
2613,4.75
1056,6.0
3168,11.5
1446,41.0
1720,23.0
1622,16.5
1806,5.25
3898,14.0
6408,16.5
1436,2.6
2340,75.0
6187,55.0
2705,5.4
3601,3.6
6467,5.5
3878,14.9
650,75.0
1594,7.5
5678,15.5
929,2.65
2301,25.0
3880,12.5
5896,12.0
905,11.0
961,28.5
1820,40.0
711,2.85
2353,14.9
5801,16.0
2162,13.75
5799,16.0
6325,6.5
61,14.5
4923,10.5
3337,3.3
1244,4.5
1553,3.8
1025,3.5
2473,2.7
2469,3.85
3865,5.3
4803,38.5
6450,4.9
6347,12.5
5442,0.69
6120,14.0
2046,8.5
4199,3.1
2063,3.7
1726,2.8
2076,16.5
4194,4.9
2669,39.5
2184,2.65
3507,5.2
5926,8.35
3882,21.0
4558,0.75
4117,5.5
1875,42.0
507,16.5
5881,7.0
2496,4.0
2130,11.25
3545,27.0
2486,2.08
1701,2.65
4670,8.0
5351,3.1
3951,18.0
2843,5.25
1984,4.6
2704,11.5
1126,13.9
6098,4.5
193,10.75
1132,4.7
464,3.3
4526,6.95
1019,2.35
5475,1.6
6222,3.4
5302,23.5
5745,5.25
3289,13.0
602,18.5
3669,4.1
1444,45.0
1293,10.9
4850,15.0
4300,13.75
5975,4.4
6001,13.5
437,0.6
6046,2.75
5322,4.6
948,23.0
1696,6.5
2885,20.0
6219,3.4
3171,9.95
4959,6.6
1389,3.5
2991,3.15
3188,9.5
3627,1.5
4247,6.0
439,75.0
5720,3.85
6145,3.95
1332,1.56
4582,7.85
2421,16.0
5009,2.45
1177,4.3
3721,18.5
1980,2.5
5501,4.0
5600,3.5
1440,5.6
24,75.0
2441,9.5
2481,3.85
724,10.5
4540,2.45
4083,2.25
986,3.75
4085,3.0
2396,7.65
5354,4.1
5562,4.3
1451,3.6
5783,12.7
1935,6.5
2492,2.2
2976,1.5
1907,4.2
2959,3.9
4232,13.5
499,0.38
4532,4.3
1422,5.5
4214,3.85
4983,4.0
4369,11.5
5003,6.4
1647,2.95
1730,4.5
119,12.5
2247,38.5
5246,2.7
2037,4.5
5021,14.5
1459,3.0
176,5.8
1999,6.25
5022,6.25
3407,3.25
1296,4.8
5759,4.9
1986,14.0
443,4.25
2475,12.75
4289,2.6
1921,3.85
5296,33.0
6019,0.72
1751,4.75
5481,4.25
5558,4.8
5647,9.0
1804,18.0
380,3.1
719,3.65
5362,15.45
1790,3.9
5661,4.0
4433,1.8
6014,2.5
4691,2.5
1530,8.5
3207,2.5
398,12.0
3905,3.5
1919,6.0
1400,25.0
4277,1.2
3449,4.0
3858,4.85
891,5.95
5424,3.0
2584,36.0
5598,11.0
4421,6.25
2733,4.7
2346,3.8
2468,1.95
3265,9.75
3003,4.65
2900,18.0
1904,4.75
2982,55.0
836,2.35
2535,7.75
4094,1.5
3799,5.2
4991,38.0
1247,2.75
2673,45.0
2428,72.0
2967,25.0
374,6.5
903,6.6
434,3.2
6104,3.35
2136,4.0
2180,0.85
3038,5.5
4802,26.5
6315,55.0
3147,13.0
5766,5.9
5270,0.93
5888,3.1
4195,4.7
2989,26.0
6354,4.4
738,2.6
3961,14.5
4674,2.45
551,2.35
5237,3.9
2261,13.9
6466,8.5
543,8.7
3559,3.3
4967,2.5
1363,1.98
4993,7.25
4663,5.8
3186,3.6
5358,4.0
3067,3.55
774,14.0
4984,3.9
914,6.2
1848,2.6
244,6.85
4787,3.2
3465,5.8
6011,41.0
2668,9.5
2126,4.9
2281,2.65
1852,2.3
879,16.0
2542,1.75
3248,16.0
1382,6.0
5330,0.55
3686,2.7
598,12.5
3073,6.3
5727,14.45
2938,3.6
214,6.8
2591,7.5
5308,3.95
1308,25.0
512,29.0
1791,4.5
5909,2.35
3179,2.2
656,3.4
6403,15.0
1073,4.0
2578,1.45
6459,6.3
447,3.6
800,2.75
4423,2.9
5042,13.5
442,3.9
3438,10.8
998,2.45
3470,9.25
2856,2.5
5226,3.7
1068,12.0
3548,16.0
1845,1.65
5592,15.5
6255,8.5
4352,5.3
1402,17.0
18,1.4
1276,7.4
1159,3.4
755,6.5
5434,4.5
606,13.9
3719,5.5
6463,0.777
270,3.95
5506,14.0
674,7.5
3801,1.55
5403,4.15
4916,2.95
4097,7.25
4415,3.3
2789,2.38
2543,50.0
4320,7.1
3711,1.9
805,3.5
2124,2.35
3357,26.0
6178,15.5
2854,7.25
912,2.4
6209,11.9
454,13.75
4785,6.0
5967,6.75
1937,7.25
629,32.75
3680,3.6
142,5.7
196,5.5
3212,5.5
3804,38.0
5346,1.3
3304,4.1
3726,12.0
3204,9.25
2889,5.0
6000,3.8
3359,2.65
1,5.2
3584,14.5
6418,22.0
2893,13.0
4502,40.0
4939,35.0
3813,4.4
1604,3.0
3924,60.0
856,24.95
2517,3.4
2339,45.0
4318,2.75
277,11.0
1117,1.1
4839,4.35
4950,55.0
3035,30.0
6182,4.5
3835,1.5
4177,3.6
2326,2.39
5093,25.0
5990,9.9
3922,16.7
6132,6.4
1953,19.0
2995,8.5
378,4.3
95,3.05
1574,6.9
579,2.65
844,2.8
2009,1.5
6465,8.7
4484,4.7
4527,4.1
6185,9.1
4365,3.4
3971,3.4
2612,7.25
5071,3.3
1835,45.0
3324,3.6
771,9.5
546,2.35
2315,7.5
4192,7.0
2909,2.85
6038,20.0
506,12.45
5426,4.5
3316,4.0
4693,3.6
2538,4.75
1519,4.75
855,10.7
763,22.5
6346,4.5
4547,1.5
1570,6.75
3927,33.5
6170,14.0
1888,6.0
2687,55.0
1135,18.5
1136,3.9
4765,4.15
2950,2.65
4879,3.7
3690,6.25
2272,5.25
2078,12.25
6150,5.6
6270,4.1
114,6.8
5735,3.5
3464,52.0
26,6.9
5537,3.4
2318,4.9
1407,15.0
2539,24.9
4349,4.5
1592,4.2
4659,11.0
1289,19.0
6328,17.5
5714,32.0
5252,4.25
5748,1.95
1047,18.0
2144,13.5
4539,1.5
6165,12.5
3687,3.75
3163,2.38
1315,2.85
4714,7.75
4961,8.0
3688,4.5
3576,22.0
1372,5.5
4171,9.8
5332,4.15
1020,2.9
4603,11.0
985,13.5
5803,24.0
3467,3.25
3333,5.5
4976,12.25
27,6.3
1288,35.0
5146,37.0
1333,6.5
4303,10.8
5668,1.65
4724,0.85
1843,10.0
712,4.4
5043,13.5
5874,3.1
389,4.5
1425,50.0
3096,4.6
1814,1.95
3509,5.4
832,1.45
2117,9.25
