,Bath(s),Area(Marla),Bedroom(s),Servant Quarters,Kitchens,Store Rooms,Building,Main Location,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
531,2.0,6.0,2.0,1.0,1.0,0.0,Diplomatic Enclave,Diplomatic Enclave,0,1.0,1.0,1.0,11.0,1.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
5613,3.0,12.0,3.0,1.0,1.0,1.0,Askari Heights 4,DHA Phase 5,0,1.0,4.0,1.0,12.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
4965,3.0,5.0,3.0,1.0,1.0,1.0,Smama Star Mall & Residency,Gulberg Greens,1,1.0,1.0,2.0,7.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
2771,3.0,14.0,3.0,1.0,1.0,1.0,F-11,F-11,0,1.0,4.0,2.0,8.0,0.0,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
3643,2.0,4.0,2.0,2.0,2.0,0.0,G-6,G-6,0,4.0,2.0,2.0,2.0,0.0,Recently Built,Lower Floors,Lower Levels,Dual Setup
3104,1.0,3.0,1.0,1.0,1.0,1.0,Gulberg Greens,Gulberg Greens,0,1.0,1.0,1.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
4477,1.0,5.0,1.0,3.0,1.0,2.0,F-8,F-8,0,1.0,10.0,4.0,10.0,1.0,Recently Built,Mid-Level,Mid Rise Core,Multiple Bank
4553,2.0,4.0,2.0,1.0,1.0,1.0,D-12,D-12,0,4.0,1.0,1.0,4.0,1.0,Recently Built,Ground/First Floor,Lower Levels,Single/None
5934,1.0,3.0,1.0,1.0,1.0,1.0,Bahria Enclave,Bahria Enclave,0,2.0,2.0,1.0,5.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
2256,1.0,2.0,1.0,2.0,1.0,1.0,Faisal Town,Faisal Town Phase 1,0,1.0,1.0,1.0,5.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
5631,2.0,3.0,2.0,1.0,1.0,1.0,I-12,I-12,1,1.0,1.0,2.0,9.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Dual Setup
6391,2.0,4.0,2.0,1.0,1.0,1.0,Faisal Margalla City,B-17,1,1.0,1.0,1.0,8.0,0.0,Future,Ground/First Floor,Mid Rise Core,Single/None
2533,1.0,2.0,1.0,1.0,1.0,0.0,Ghauri Town,Ghauri Town,0,1.0,4.0,1.0,6.0,0.0,Modern Era,Lower Floors,Mid Rise Core,Single/None
5181,2.0,4.0,2.0,1.0,1.0,1.0,Residency,DHA Phase 2,1,1.0,1.0,1.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
6039,2.0,3.0,1.0,0.0,1.0,1.0,Eighteen,Kashmir Highway,0,2.0,1.0,1.0,6.0,1.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
1568,1.0,4.0,1.0,2.0,1.0,2.0,Executive Apartments,DHA Phase 2,0,1.0,1.0,5.0,19.0,0.0,Recently Built,Ground/First Floor,High Rise,High-Capacity
1250,4.0,15.0,3.0,1.0,2.0,1.0,F-10,F-10,0,4.0,1.0,1.0,1.0,1.0,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
1818,3.0,6.0,2.0,1.0,1.0,1.0,Residency,DHA Phase 2,0,1.0,1.0,1.0,3.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Single/None
3488,3.0,6.0,3.0,2.0,1.0,2.0,Apollo Towers,E-11,0,1.0,7.0,1.0,8.0,0.0,Modern Era,Mid-Level,Mid Rise Core,Single/None
1256,2.0,7.0,2.0,1.0,1.0,1.0,Karakoram Diplomatic Enclave,Karakoram Diplomatic Enclave,0,1.0,1.0,1.0,11.0,1.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
4345,3.0,7.0,3.0,1.0,1.0,1.0,I-16,I-16,0,2.0,1.0,2.0,6.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
3078,2.0,4.0,2.0,2.0,1.0,1.0,G-10,G-10,0,1.0,3.0,1.0,10.0,1.0,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
4844,2.0,5.0,2.0,1.0,1.0,1.0,MPCHS,B-17,0,1.0,4.0,2.0,7.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
6438,3.0,7.0,3.0,1.0,1.0,1.0,D-17,D-17,0,1.0,1.0,1.0,4.0,0.0,Modern Era,Ground/First Floor,Lower Levels,Single/None
1766,1.0,3.0,1.0,1.0,1.0,1.0,Capital Square,B-17,0,1.0,1.0,1.0,12.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
2157,4.0,10.0,3.0,1.0,1.0,1.0,Country Club Apartments,Murree Expressway,0,4.0,1.0,2.0,4.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Dual Setup
2287,3.0,7.0,2.0,1.0,1.0,1.0,F-11,F-11,0,1.0,4.0,4.0,8.0,1.0,Recently Built,Lower Floors,Mid Rise Core,Multiple Bank
1540,3.0,8.0,2.0,1.0,1.0,1.0,Gulberg Greens,Gulberg Greens,0,3.0,13.0,10.0,22.0,0.0,Brand New (2025),High-Rise,High Rise,High-Capacity
4015,2.0,5.0,2.0,1.0,1.0,1.0,MPCHS,B-17,0,1.0,3.0,10.0,9.0,0.0,Recently Built,Lower Floors,Mid Rise Core,High-Capacity
3611,2.0,5.0,2.0,1.0,1.0,1.0,H-13,H-13,0,1.0,7.0,1.0,7.0,0.0,Recently Built,Mid-Level,Mid Rise Core,Single/None
5142,2.0,9.0,2.0,1.0,1.0,1.0,G-15,G-15,1,1.0,1.0,1.0,5.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
2882,1.0,2.0,1.0,1.0,1.0,1.0,DHA Phase 1,DHA Phase 1,0,1.0,1.0,1.0,7.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
909,1.0,4.0,1.0,1.0,1.0,1.0,Zeta-1 Mall,GT Road,0,1.0,5.0,2.0,6.0,1.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
3331,1.0,2.0,1.0,0.0,1.0,0.0,Gulberg Greens,Gulberg Greens,0,1.0,1.0,2.0,8.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
3814,1.0,4.0,1.0,2.0,1.0,2.0,J7 Emporium,B-17,0,1.0,9.0,1.0,9.0,0.0,Brand New (2025),Mid-Level,Mid Rise Core,Single/None
6436,3.0,7.0,3.0,0.0,1.0,1.0,D-17,D-17,0,1.0,1.0,5.0,9.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,High-Capacity
3143,2.0,3.0,2.0,1.0,1.0,1.0,I-12,I-12,1,1.0,1.0,2.0,9.0,0.0,Future,Ground/First Floor,Mid Rise Core,Dual Setup
327,1.0,3.0,1.0,1.0,1.0,1.0,Cube Apartments,Bahria Enclave,0,1.0,1.0,1.0,9.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
1653,3.0,9.0,3.0,1.0,1.0,1.0,Silver Oaks Apartments,F-10,0,1.0,3.0,10.0,10.0,1.0,Modern Era,Lower Floors,Mid Rise Core,High-Capacity
2252,2.0,6.0,2.0,1.0,1.0,1.0,Mumtaz City,Mumtaz City,0,1.0,4.0,1.0,21.0,0.0,Brand New (2025),Lower Floors,High Rise,Single/None
107,2.0,5.0,3.0,2.0,1.0,1.0,PHAF Officers Residencia,Kuri Road,0,2.0,1.0,1.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
823,3.0,7.0,3.0,0.0,1.0,0.0,Mumtaz City,Mumtaz City,0,1.0,1.0,1.0,1.0,0.0,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
4737,5.0,14.0,4.0,1.0,1.0,1.0,Askari Tower 3,DHA Phase 5,1,1.0,1.0,1.0,12.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
4256,1.0,3.0,1.0,1.0,1.0,1.0,B-17,B-17,1,1.0,1.0,1.0,1.0,0.0,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
2101,2.0,5.0,2.0,2.0,1.0,1.0,Kazani Heights,Islamabad Expressway,0,1.0,8.0,4.0,12.0,0.0,Recently Built,Mid-Level,Mid Rise Core,Multiple Bank
5451,3.0,10.0,3.0,0.0,1.0,1.0,Sofia Sapphire,Mumtaz City,0,1.0,3.0,6.0,6.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,High-Capacity
5736,2.0,3.0,2.0,1.0,1.0,1.0,Smama Star Mall & Residency,Gulberg Greens,0,1.0,1.0,1.0,8.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
373,4.0,13.0,2.0,1.0,1.0,1.0,The Centaurus,F-8,0,1.0,5.0,4.0,14.0,1.0,Brand New (2025),Lower Floors,High Rise,Multiple Bank
5864,1.0,2.0,1.0,0.0,1.0,1.0,D-17,D-17,0,1.0,1.0,1.0,4.0,0.0,Modern Era,Ground/First Floor,Lower Levels,Single/None
1102,1.0,4.0,1.0,1.0,1.0,1.0,Lignum Tower,DHA Phase 2,1,1.0,1.0,1.0,20.0,0.0,Modern Era,Ground/First Floor,High Rise,Single/None
6070,4.0,12.0,3.0,1.0,1.0,1.0,The Centaurus,F-8,0,1.0,1.0,4.0,1.0,1.0,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
3707,1.0,3.0,1.0,1.0,1.0,1.0,DHA Phase 2,DHA Phase 2,0,1.0,1.0,1.0,25.0,0.0,Brand New (2025),Ground/First Floor,High Rise,Single/None
5635,2.0,6.0,1.0,1.0,1.0,1.0,Al-Safa Heights,F-11,0,1.0,3.0,1.0,7.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
5841,2.0,6.0,2.0,1.0,1.0,1.0,Park View City,Park View City,0,1.0,3.0,2.0,5.0,1.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
2416,3.0,8.0,3.0,0.0,1.0,0.0,11 Central Apartments,G-11,0,1.0,1.0,1.0,9.0,1.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
4362,4.0,10.0,3.0,1.0,1.0,1.0,Eighteen,Kashmir Highway,0,2.0,1.0,1.0,6.0,1.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
6068,3.0,5.0,2.0,3.0,2.0,2.0,Sukh Chayn Residence,F-10,0,4.0,1.0,1.0,1.0,1.0,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
4815,3.0,7.0,3.0,1.0,1.0,1.0,Margalla View Society,Margalla View Housing Society,0,1.0,1.0,1.0,1.0,0.0,Modern Era,Ground/First Floor,Ground/Flat,Single/None
2007,4.0,11.0,3.0,0.0,1.0,0.0,Askari Heights 4,DHA Phase 5,1,1.0,1.0,1.0,12.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
1109,1.0,2.0,1.0,2.0,2.0,1.0,B-17,B-17,0,4.0,1.0,1.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
6220,2.0,4.0,2.0,1.0,1.0,1.0,Faisal Town Phase 1,Faisal Town Phase 1,1,1.0,3.0,1.0,7.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
4189,1.0,3.0,1.0,1.0,1.0,1.0,Goldcrest Views,DHA Phase 2,0,1.0,11.0,5.0,40.0,0.0,Future,High-Rise,Skyscarper,High-Capacity
1523,2.0,6.0,2.0,1.0,1.0,1.0,Bahria Enclave,Bahria Town,0,2.0,6.0,10.0,9.0,0.0,Brand New (2025),Mid-Level,Mid Rise Core,High-Capacity
5134,4.0,11.0,3.0,1.0,1.0,1.0,DHA Phase 2,DHA Phase 2,0,1.0,1.0,2.0,7.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
2378,2.0,5.0,2.0,1.0,1.0,1.0,Faisal Town Phase 1,Faisal Town Phase 1,1,1.0,1.0,1.0,7.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
9,3.0,7.0,3.0,1.0,1.0,1.0,Diplomatic Enclave,Diplomatic Enclave,1,1.0,1.0,1.0,11.0,1.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
32,4.0,13.0,2.0,1.0,1.0,1.0,The Centaurus,F-8,0,1.0,1.0,4.0,1.0,1.0,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
1240,2.0,9.0,2.0,1.0,1.0,1.0,The Centaurus,F-8,0,1.0,17.0,4.0,23.0,1.0,Modern Era,High-Rise,High Rise,Multiple Bank
4315,3.0,10.0,3.0,1.0,2.0,1.0,Eighteen,Kashmir Highway,0,1.0,1.0,1.0,6.0,1.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
3681,2.0,4.0,2.0,1.0,2.0,1.0,Al-Ghurair Giga,Al-Ghurair Giga,0,4.0,7.0,2.0,10.0,0.0,Recently Built,Mid-Level,Mid Rise Core,Dual Setup
2548,3.0,12.0,3.0,1.0,1.0,1.0,Askari Tower 2,DHA Phase 2,0,1.0,4.0,1.0,7.0,0.0,Modern Era,Lower Floors,Mid Rise Core,Single/None
1536,4.0,12.0,3.0,1.0,1.0,1.0,Askari Tower 1,DHA Phase 2,0,2.0,1.0,1.0,4.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Single/None
6396,2.0,4.0,2.0,1.0,1.0,1.0,F-17,F-17,1,1.0,1.0,1.0,4.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Single/None
847,2.0,4.0,2.0,1.0,1.0,1.0,F-17,F-17,0,2.0,3.0,1.0,4.0,0.0,Recently Built,Lower Floors,Lower Levels,Single/None
5263,3.0,12.0,3.0,0.0,2.0,1.0,Askari Tower 3,DHA Phase 5,0,1.0,1.0,1.0,12.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
113,1.0,2.0,1.0,1.0,2.0,1.0,Park View City,Park View City,0,2.0,3.0,1.0,3.0,1.0,Recently Built,Lower Floors,Lower Levels,Single/None
6069,3.0,9.0,3.0,1.0,1.0,1.0,Sukh Chayn Residence,F-10,0,4.0,11.0,1.0,22.0,1.0,Brand New (2025),High-Rise,High Rise,Single/None
2055,1.0,3.0,1.0,0.0,1.0,0.0,Bahria Enclave,Bahria Town,0,1.0,1.0,1.0,9.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
5966,2.0,7.0,2.0,4.0,1.0,2.0,Karakoram Diplomatic Enclave,Karakoram Diplomatic Enclave,0,4.0,1.0,10.0,7.0,1.0,Brand New (2025),Ground/First Floor,Mid Rise Core,High-Capacity
3857,2.0,3.0,2.0,1.0,1.0,1.0,G-11,G-11,0,1.0,1.0,1.0,4.0,1.0,Established,Ground/First Floor,Lower Levels,Single/None
2437,3.0,12.0,3.0,2.0,2.0,2.0,Askari Tower 3,DHA Phase 5,0,4.0,1.0,1.0,12.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
3522,2.0,5.0,2.0,1.0,1.0,1.0,E-11,E-11,0,1.0,1.0,1.0,9.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
2748,1.0,3.0,2.0,1.0,1.0,1.0,Gulberg Residencia,Gulberg Residencia,1,1.0,1.0,1.0,5.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
2635,2.0,6.0,2.0,1.0,1.0,1.0,Faisal Town Phase 1,Faisal Town Phase 1,1,1.0,1.0,1.0,7.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
4666,1.0,2.0,1.0,1.0,1.0,1.0,Smama Star Mall & Residency,Gulberg Greens,0,1.0,1.0,1.0,8.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
2390,2.0,3.0,2.0,1.0,2.0,1.0,B-17,B-17,1,1.0,1.0,1.0,1.0,0.0,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
33,1.0,3.0,1.0,0.0,1.0,1.0,The Centaurus,F-8,0,1.0,37.0,4.0,37.0,1.0,Recently Built,High-Rise,Skyscarper,Multiple Bank
1064,1.0,2.0,1.0,1.0,1.0,1.0,DHA Phase 1,DHA Phase 1,0,4.0,1.0,1.0,18.0,0.0,Brand New (2025),Ground/First Floor,High Rise,Single/None
3086,3.0,6.0,2.0,0.0,1.0,0.0,Gulberg Heights,Gulberg Greens,0,1.0,1.0,1.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
108,2.0,4.0,2.0,1.0,1.0,1.0,F-11,F-11,0,1.0,1.0,4.0,6.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
1374,2.0,5.0,2.0,1.0,1.0,2.0,Islamabad,Murree Expressway,0,2.0,12.0,1.0,21.0,0.0,Brand New (2025),High-Rise,High Rise,Single/None
2223,3.0,11.0,3.0,1.0,1.0,1.0,DHA Phase 2,DHA Phase 2,1,1.0,1.0,2.0,7.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
223,3.0,6.0,3.0,1.0,1.0,1.0,Pine Heights Luxury Apartments,D-17,1,1.0,7.0,3.0,10.0,0.0,Recently Built,Mid-Level,Mid Rise Core,Multiple Bank
428,1.0,3.0,1.0,0.0,1.0,1.0,Gulberg Residencia,Gulberg Residencia,1,1.0,1.0,1.0,5.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
1474,2.0,8.0,2.0,1.0,1.0,1.0,Warda Hamna Residencia 3,G-11,0,1.0,1.0,1.0,2.0,0.0,Future,Ground/First Floor,Lower Levels,Single/None
296,1.0,2.0,1.0,1.0,1.0,1.0,Faisal Hills,Faisal Hills,1,1.0,1.0,1.0,7.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
5495,1.0,2.0,1.0,1.0,1.0,1.0,Soan Garden,Soan Garden,1,1.0,1.0,1.0,5.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
830,1.0,6.0,1.0,1.0,1.0,1.0,F-11,F-11,0,1.0,1.0,4.0,5.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Multiple Bank
480,1.0,4.0,1.0,1.0,1.0,1.0,Robinas Luxury Residences,Bani Gala,0,1.0,2.0,2.0,6.0,0.0,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
6052,1.0,3.0,1.0,1.0,1.0,1.0,Bahria Garden City,Bahria Town,0,1.0,1.0,1.0,2.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Single/None
3441,3.0,8.0,2.0,0.0,1.0,1.0,Diplomatic Enclave,Diplomatic Enclave,0,1.0,5.0,1.0,12.0,1.0,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
3031,3.0,12.0,3.0,1.0,1.0,1.0,Askari Tower 3,DHA Phase 5,0,2.0,1.0,2.0,11.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
348,5.0,12.0,3.0,1.0,1.0,1.0,The Centaurus,F-8,0,1.0,1.0,4.0,1.0,1.0,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
3103,2.0,5.0,2.0,1.0,1.0,1.0,B-17,B-17,0,1.0,4.0,2.0,8.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,Dual Setup
5538,1.0,3.0,1.0,1.0,1.0,1.0,Gulberg Greens,Gulberg Greens,1,1.0,1.0,1.0,8.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
5938,1.0,2.0,1.0,1.0,1.0,1.0,Bahria Enclave,Bahria Enclave,0,1.0,1.0,1.0,6.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
3976,1.0,5.0,1.0,1.0,1.0,1.0,DHA Phase 2,DHA Phase 2,1,1.0,1.0,2.0,7.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
199,6.0,19.0,4.0,1.0,2.0,1.0,Constitution Avenue,Constitution Avenue,0,3.0,2.0,3.0,23.0,1.0,Recently Built,Lower Floors,High Rise,Multiple Bank
5387,2.0,6.0,2.0,1.0,1.0,1.0,Mumtaz City,Mumtaz City,0,4.0,2.0,4.0,12.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,Multiple Bank
2043,2.0,8.0,2.0,1.0,1.0,1.0,Al-Safa Heights,F-11,0,4.0,5.0,4.0,7.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,Multiple Bank
938,2.0,4.0,2.0,1.0,1.0,1.0,I-12,I-12,0,1.0,1.0,1.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,Single/None
4560,3.0,8.0,3.0,1.0,1.0,1.0,Bahria Enclave,Bahria Town,0,1.0,1.0,10.0,9.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,High-Capacity
4605,2.0,7.0,2.0,1.0,1.0,1.0,Capital Square,B-17,1,2.0,1.0,1.0,12.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
3743,4.0,16.0,4.0,1.0,1.0,1.0,Zarkon Heights,G-15,1,1.0,3.0,2.0,9.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
2089,1.0,2.0,1.0,1.0,2.0,1.0,Diamond Mall & Residency,Gulberg Greens,0,1.0,3.0,1.0,8.0,0.0,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
4113,1.0,2.0,1.0,2.0,2.0,2.0,Golra Mor,Golra Mor,0,1.0,1.0,1.0,1.0,0.0,Future,Ground/First Floor,Ground/Flat,Single/None
5029,2.0,6.0,2.0,1.0,1.0,1.0,Robinas Luxury Residences,Bani Gala,0,1.0,5.0,2.0,7.0,0.0,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
2341,4.0,10.0,3.0,1.0,1.0,1.0,Askari Tower 2,DHA Phase 2,0,1.0,4.0,2.0,7.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
1899,5.0,12.0,4.0,0.0,1.0,0.0,Askari Tower 4,DHA Phase 5,1,1.0,1.0,1.0,12.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
3826,1.0,2.0,1.0,1.0,1.0,1.0,Bahria Enclave,Bahria Town,1,1.0,1.0,1.0,7.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
3006,3.0,7.0,3.0,1.0,1.0,1.0,FOECHS,FOECHS - Foreign Office Employees Society,0,1.0,4.0,1.0,6.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
5455,1.0,5.0,1.0,1.0,1.0,1.0,Mumtaz City,Mumtaz City,0,1.0,10.0,1.0,1.0,0.0,Brand New (2025),Mid-Level,Ground/Flat,Single/None
3660,2.0,6.0,2.0,0.0,1.0,0.0,Gulberg Heights,Gulberg Greens,0,1.0,1.0,1.0,6.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
4165,2.0,6.0,2.0,1.0,1.0,1.0,Eighteen,Kashmir Highway,0,1.0,1.0,1.0,6.0,1.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
311,4.0,8.0,4.0,1.0,1.0,1.0,Diamond Mall & Residency,Gulberg Greens,0,1.0,1.0,1.0,8.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
6426,3.0,6.0,3.0,1.0,1.0,0.0,Faisal Margalla City,B-17,0,1.0,1.0,1.0,8.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
390,6.0,20.0,4.0,1.0,1.0,1.0,The Centaurus,F-8,0,1.0,5.0,4.0,1.0,1.0,Established,Lower Floors,Ground/Flat,Multiple Bank
2555,2.0,8.0,2.0,2.0,1.0,1.0,Skypark One,Gulberg Greens,0,1.0,1.0,1.0,9.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
4430,2.0,5.0,2.0,0.0,1.0,0.0,MPCHS,MPCHS - Multi Gardens,0,1.0,1.0,1.0,5.0,0.0,Future,Ground/First Floor,Mid Rise Core,Single/None
747,3.0,7.0,2.0,1.0,2.0,1.0,DHA Phase 2,DHA Phase 2,0,4.0,1.0,1.0,5.0,1.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
1130,1.0,4.0,1.0,1.0,1.0,1.0,Executive Apartments,DHA Phase 2,0,1.0,1.0,1.0,20.0,0.0,Recently Built,Ground/First Floor,High Rise,Single/None
2650,4.0,6.0,3.0,1.0,1.0,1.0,Park View City,Park View City,0,1.0,1.0,1.0,6.0,1.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
1512,2.0,3.0,2.0,1.0,1.0,1.0,I-12,I-12,1,1.0,3.0,2.0,9.0,0.0,Future,Lower Floors,Mid Rise Core,Dual Setup
2036,3.0,11.0,3.0,1.0,2.0,1.0,G-11,G-11,0,4.0,1.0,3.0,10.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
3816,2.0,6.0,2.0,1.0,1.0,1.0,G-11,G-11,0,1.0,2.0,1.0,10.0,1.0,Future,Lower Floors,Mid Rise Core,Single/None
3607,5.0,13.0,5.0,0.0,1.0,1.0,Margalla Hills-2,E-11,0,1.0,1.0,4.0,1.0,0.0,Modern Era,Ground/First Floor,Ground/Flat,Multiple Bank
3277,1.0,4.0,1.0,1.0,1.0,1.0,B-17,B-17,0,1.0,1.0,1.0,1.0,0.0,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
697,4.0,10.0,3.0,1.0,1.0,1.0,DHA Phase 1,DHA Phase 1,0,2.0,1.0,2.0,3.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Dual Setup
4654,2.0,6.0,2.0,1.0,1.0,0.0,11 Central Apartments,G-11,0,1.0,1.0,1.0,10.0,1.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
4368,2.0,5.0,2.0,1.0,1.0,1.0,Whispering Pines,Pir Sohawa,0,1.0,1.0,1.0,8.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
440,2.0,7.0,2.0,1.0,1.0,1.0,Mall of Islamabad,Blue Area,0,2.0,18.0,5.0,22.0,1.0,Brand New (2025),High-Rise,High Rise,High-Capacity
4344,2.0,4.0,2.0,1.0,1.0,1.0,I-16,I-16,0,2.0,1.0,2.0,8.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Dual Setup
191,4.0,12.0,4.0,1.0,1.0,1.0,Sukh Chayn Residence,F-10,0,2.0,10.0,3.0,12.0,1.0,Brand New (2025),Mid-Level,Mid Rise Core,Multiple Bank
2865,1.0,4.0,1.0,1.0,1.0,1.0,E-11,E-11,1,1.0,1.0,1.0,5.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
490,1.0,2.0,1.0,2.0,1.0,1.0,Top City 1,Top City 1,0,1.0,2.0,1.0,1.0,0.0,Recently Built,Lower Floors,Ground/Flat,Single/None
796,3.0,8.0,2.0,0.0,1.0,0.0,B-17,B-17,0,1.0,10.0,1.0,21.0,0.0,Future,Mid-Level,High Rise,Single/None
6144,1.0,3.0,1.0,0.0,1.0,1.0,Residency,DHA Phase 2,0,1.0,1.0,1.0,6.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
268,5.0,14.0,4.0,1.0,1.0,1.0,Askari Tower 3,DHA Phase 5,0,1.0,1.0,1.0,8.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
4643,2.0,6.0,2.0,1.0,1.0,1.0,Zarkon Heights,G-15,0,1.0,3.0,2.0,9.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Dual Setup
2127,4.0,8.0,4.0,1.0,1.0,1.0,E-11,E-11,1,1.0,1.0,1.0,5.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
