,Bath(s),Area(Marla),Bedroom(s),Servant Quarters,Kitchens,Store Rooms,Building,Main Location,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
1747,2.0,3.0,1.0,1.0,1.0,1.0,Gulberg Arena Mall,Gulberg Greens,0,1.0,1.0,8.0,1.0,0.0,Recently Built,Ground/First Floor,Ground/Flat,High-Capacity
2928,2.0,6.0,2.0,1.0,1.0,1.0,Sukh Chayn Residence,F-10,0,1.0,3.0,2.0,3.0,1.0,Modern Era,Lower Floors,Lower Levels,Dual Setup
1952,2.0,4.0,2.0,1.0,1.0,1.0,Telegardens (T&T ECHS),F-17,0,1.0,1.0,1.0,4.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Single/None
3556,3.0,8.0,3.0,1.0,2.0,1.0,Capital Residencia,Margalla Hills-2,0,1.0,10.0,1.0,15.0,0.0,Recently Built,Mid-Level,High Rise,Single/None
4426,2.0,6.0,2.0,0.0,1.0,0.0,DHA Phase 4,DHA Phase 4,0,4.0,1.0,4.0,22.0,0.0,Recently Built,Ground/First Floor,High Rise,Multiple Bank
5051,1.0,5.0,1.0,1.0,1.0,1.0,Cube Apartments,Bahria Enclave,1,1.0,1.0,4.0,9.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
1826,2.0,6.0,3.0,0.0,1.0,0.0,I-8,I-8,0,2.0,1.0,1.0,2.0,0.0,Recently Built,Ground/First Floor,Lower Levels,Single/None
2845,2.0,3.0,2.0,1.0,1.0,1.0,G-11,G-11,1,1.0,1.0,3.0,10.0,0.0,Brand New (2025),Ground/First Floor,Mid Rise Core,Multiple Bank
684,3.0,9.0,2.0,1.0,1.0,1.0,The Centaurus,F-8,0,1.0,1.0,3.0,1.0,1.0,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
1639,4.0,12.0,3.0,1.0,1.0,1.0,The Centaurus,F-8,0,1.0,1.0,1.0,1.0,1.0,Brand New (2025),Ground/First Floor,Ground/Flat,Single/None
2251,2.0,4.0,2.0,1.0,1.0,1.0,Top City 1,Top City 1,0,1.0,3.0,1.0,1.0,0.0,Recently Built,Lower Floors,Ground/Flat,Single/None
6161,3.0,8.0,3.0,1.0,2.0,2.0,G-11,G-11,0,1.0,8.0,3.0,10.0,1.0,Brand New (2025),Mid-Level,Mid Rise Core,Multiple Bank
6425,1.0,2.0,1.0,1.0,1.0,1.0,B-17,B-17,0,1.0,1.0,1.0,11.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
5285,2.0,7.0,2.0,0.0,1.0,0.0,Warda Hamna Residencia 3,G-11,0,1.0,1.0,1.0,7.0,0.0,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
2417,3.0,10.0,3.0,1.0,1.0,0.0,The Arch,G-11,0,1.0,1.0,1.0,9.0,0.0,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
2786,2.0,4.0,2.0,1.0,1.0,0.0,MPCHS,MPCHS - Multi Gardens,0,1.0,3.0,1.0,5.0,0.0,Recently Built,Lower Floors,Mid Rise Core,Single/None
4699,3.0,8.0,3.0,1.0,1.0,1.0,G-11,G-11,1,1.0,8.0,3.0,10.0,0.0,Brand New (2025),Mid-Level,Mid Rise Core,Multiple Bank
3541,3.0,7.0,3.0,1.0,1.0,1.0,Robinas Luxury Residences,Bani Gala,0,1.0,4.0,2.0,5.0,0.0,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
559,4.0,12.0,3.0,1.0,1.0,1.0,The Centaurus,F-8,0,2.0,7.0,4.0,20.0,1.0,Brand New (2025),Mid-Level,High Rise,Multiple Bank
5283,3.0,8.0,3.0,1.0,1.0,0.0,Silver Oaks Apartments,F-10,0,1.0,5.0,1.0,8.0,1.0,Modern Era,Lower Floors,Mid Rise Core,Single/None
